Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.11 - EU1,Firefox 67.0,,2019-05-30 16:17:02,2019-05-30 16:23:55,6m - 53.709s,FAILED
,,,,,,
Test Cases/EU1/EU 1 - 10.11 - Summary and Detail pages ,Firefox 67.0,"This will cover all ""main"" Summary pages
-Live Events Summary
-Network Summary
-VoD Summary",2019-05-30 16:17:02,2019-05-30 16:19:04,2m - 1.987s,PASSED
openBrowser,Firefox 67.0,"Fires up the browser
",2019-05-30 16:17:02,2019-05-30 16:17:22,19.718s,PASSED
setText,Firefox 67.0,Filling out login info (username),2019-05-30 16:17:22,2019-05-30 16:17:22,0.174s,PASSED
setEncryptedText,Firefox 67.0,Filling out login info (password),2019-05-30 16:17:22,2019-05-30 16:17:22,0.135s,PASSED
click,Firefox 67.0,Clicks the Stay Logged In button,2019-05-30 16:17:22,2019-05-30 16:17:23,0.426s,PASSED
click,Firefox 67.0,Clicks the Submit button to login,2019-05-30 16:17:23,2019-05-30 16:17:28,4.971s,PASSED
waitForAngularLoad,Firefox 67.0,"Overview / Landing Page: 10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-30 16:17:28,2019-05-30 16:17:33,5.616s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:17:33,2019-05-30 16:17:33,0.159s,PASSED
navigateToUrl,Firefox 67.0,Network Summary,2019-05-30 16:17:33,2019-05-30 16:17:38,4.217s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:17:38,2019-05-30 16:17:44,6.597s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:17:44,2019-05-30 16:17:44,0.034s,PASSED
navigateToUrl,Firefox 67.0,Network Content,2019-05-30 16:17:44,2019-05-30 16:17:48,4.209s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:17:48,2019-05-30 16:17:54,5.144s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:17:54,2019-05-30 16:17:55,1.159s,PASSED
navigateToUrl,Firefox 67.0,Network Locality,2019-05-30 16:17:55,2019-05-30 16:17:58,3.643s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:17:58,2019-05-30 16:18:03,4.648s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:03,2019-05-30 16:18:03,0.058s,PASSED
navigateToUrl,Firefox 67.0,Live Event Summary,2019-05-30 16:18:03,2019-05-30 16:18:06,3.310s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:18:06,2019-05-30 16:18:11,5.031s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:11,2019-05-30 16:18:11,0.026s,PASSED
navigateToUrl,Firefox 67.0,Live Event,2019-05-30 16:18:11,2019-05-30 16:18:15,3.724s,PASSED
waitForAngularLoad,Firefox 67.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-30 16:18:15,2019-05-30 16:18:22,6.753s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:22,2019-05-30 16:18:23,0.936s,PASSED
navigateToUrl,Firefox 67.0,Live (in progress) Event (filtered on last 2 weeks),2019-05-30 16:18:23,2019-05-30 16:18:25,1.958s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:18:25,2019-05-30 16:18:25,0.025s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:25,2019-05-30 16:18:25,0.011s,PASSED
navigateToUrl,Firefox 67.0,VoD Summary,2019-05-30 16:18:25,2019-05-30 16:18:26,1.360s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:18:26,2019-05-30 16:18:26,0.026s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:26,2019-05-30 16:18:26,0.009s,PASSED
navigateToUrl,Firefox 67.0,Video on Demand,2019-05-30 16:18:26,2019-05-30 16:18:27,1.156s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:18:27,2019-05-30 16:18:27,0.020s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:27,2019-05-30 16:18:27,0.010s,PASSED
navigateToUrl,Firefox 67.0,SCCM,2019-05-30 16:18:27,2019-05-30 16:18:28,1.082s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:18:28,2019-05-30 16:18:28,0.018s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:28,2019-05-30 16:18:29,0.012s,PASSED
navigateToUrl,Firefox 67.0,Agent Summary,2019-05-30 16:18:29,2019-05-30 16:18:33,4.145s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:18:33,2019-05-30 16:18:41,8.659s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:41,2019-05-30 16:18:41,0.015s,PASSED
navigateToUrl,Firefox 67.0,Agent Detail,2019-05-30 16:18:41,2019-05-30 16:18:45,3.554s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:18:45,2019-05-30 16:18:49,4.447s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:18:49,2019-05-30 16:18:49,0.065s,PASSED
navigateToUrl,Firefox 67.0,Event Analyzer,2019-05-30 16:18:49,2019-05-30 16:18:55,5.166s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-30 16:18:55,2019-05-30 16:19:03,8.317s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:19:03,2019-05-30 16:19:03,0.122s,PASSED
closeBrowser,Firefox 67.0,,2019-05-30 16:19:03,2019-05-30 16:19:04,0.794s,PASSED
,,,,,,
Test Cases/EU1/EU 1 - 10.11 - Navigation and CTAs,Firefox 67.0,"This will cover testing of Paul's new navigation and dropdown menus, as well as the three main Calls To Action on the Overview page",2019-05-30 16:19:04,2019-05-30 16:22:26,3m - 22.226s,FAILED
openBrowser,Firefox 67.0,"Fires up the browser
",2019-05-30 16:19:04,2019-05-30 16:19:28,23.603s,PASSED
setText,Firefox 67.0,Filling out login info (username),2019-05-30 16:19:28,2019-05-30 16:19:28,0.135s,PASSED
setEncryptedText,Firefox 67.0,Filling out login info (password),2019-05-30 16:19:28,2019-05-30 16:19:28,0.063s,PASSED
click,Firefox 67.0,Clicks the Stay Logged In button,2019-05-30 16:19:28,2019-05-30 16:19:28,0.384s,PASSED
click,Firefox 67.0,Clicks the Submit button to login,2019-05-30 16:19:28,2019-05-30 16:19:33,4.872s,PASSED
waitForAngularLoad,Firefox 67.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-30 16:19:33,2019-05-30 16:19:40,6.916s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-30 16:19:40,2019-05-30 16:19:40,0.159s,PASSED
verifyElementVisible,Firefox 67.0,,2019-05-30 16:19:40,2019-05-30 16:19:41,0.380s,PASSED
verifyElementVisible,Firefox 67.0,,2019-05-30 16:19:41,2019-05-30 16:19:41,0.135s,PASSED
click,Firefox 67.0,,2019-05-30 16:19:41,2019-05-30 16:19:47,5.870s,PASSED
waitForAngularLoad,Firefox 67.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-30 16:19:47,2019-05-30 16:19:54,7.095s,PASSED
verifyElementText,Firefox 67.0,,2019-05-30 16:19:54,2019-05-30 16:19:54,0.072s,PASSED
click,Firefox 67.0,,2019-05-30 16:19:54,2019-05-30 16:19:58,4.119s,PASSED
