Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.10 - Prod2,Firefox 66.0,,2019-05-15 18:12:26,2019-05-15 18:17:54,5m - 28.330s,FAILED
,,,,,,
Test Cases/Gated - Public Test Cases/10.10 - Prod2/Prod 2 - Navigation and CTAs,Firefox 66.0,"This will cover testing of Paul's new navigation and dropdown menus, as well as the three main Calls To Action on the Overview page",2019-05-15 18:12:26,2019-05-15 18:16:13,3m - 46.898s,FAILED
openBrowser,Firefox 66.0,"Fires up the browser
",2019-05-15 18:12:26,2019-05-15 18:12:33,6.375s,PASSED
setText,Firefox 66.0,Filling out login info (username),2019-05-15 18:12:33,2019-05-15 18:12:33,0.168s,PASSED
setEncryptedText,Firefox 66.0,Filling out login info (password),2019-05-15 18:12:33,2019-05-15 18:12:33,0.120s,PASSED
click,Firefox 66.0,Clicks the Stay Logged In button,2019-05-15 18:12:33,2019-05-15 18:12:34,0.687s,PASSED
click,Firefox 66.0,Clicks the Submit button to login,2019-05-15 18:12:34,2019-05-15 18:12:36,2.648s,PASSED
waitForAngularLoad,Firefox 66.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-15 18:12:36,2019-05-15 18:13:05,28.933s,PASSED
waitForPageLoad,Firefox 66.0,,2019-05-15 18:13:05,2019-05-15 18:13:05,0.018s,PASSED
verifyElementVisible,Firefox 66.0,,2019-05-15 18:13:05,2019-05-15 18:13:05,0.046s,PASSED
verifyElementVisible,Firefox 66.0,,2019-05-15 18:13:05,2019-05-15 18:13:05,0.033s,PASSED
click,Firefox 66.0,,2019-05-15 18:13:05,2019-05-15 18:13:07,1.169s,PASSED
waitForAngularLoad,Firefox 66.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-15 18:13:07,2019-05-15 18:13:20,13.698s,PASSED
verifyElementText,Firefox 66.0,,2019-05-15 18:13:20,2019-05-15 18:13:20,0.126s,PASSED
click,Firefox 66.0,,2019-05-15 18:13:20,2019-05-15 18:13:22,1.291s,PASSED
waitForAngularLoad,Firefox 66.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-15 18:13:22,2019-05-15 18:13:25,3.516s,PASSED
verifyElementVisible,Firefox 66.0,,2019-05-15 18:13:25,2019-05-15 18:13:26,0.261s,PASSED
click,Firefox 66.0,,2019-05-15 18:13:26,2019-05-15 18:13:28,2.049s,PASSED
