Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.10 - Prod1,Firefox 65.0,,2019-02-11 17:02:14,2019-02-11 17:08:58,6m - 43.530s,FAILED
,,,,,,
Test Cases/Gated - Public Test Cases/10.10 - Prod1/Prod 1 - Summary and Detail pages,Firefox 65.0,"This will cover all ""main"" Summary pages
-Live Events Summary
-Network Summary
-VoD Summary",2019-02-11 17:02:14,2019-02-11 17:05:54,3m - 39.802s,FAILED
openBrowser,Firefox 65.0,"Fires up the browser
",2019-02-11 17:02:15,2019-02-11 17:02:21,6.360s,PASSED
setText,Firefox 65.0,Filling out login info (username),2019-02-11 17:02:21,2019-02-11 17:02:21,0.165s,PASSED
setEncryptedText,Firefox 65.0,Filling out login info (password),2019-02-11 17:02:21,2019-02-11 17:02:21,0.137s,PASSED
click,Firefox 65.0,Clicks the Stay Logged In button,2019-02-11 17:02:21,2019-02-11 17:02:22,0.406s,PASSED
click,Firefox 65.0,Clicks the Submit button to login,2019-02-11 17:02:22,2019-02-11 17:02:25,3.095s,PASSED
waitForAngularLoad,Firefox 65.0,"Overview / Landing Page: 10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 17:02:25,2019-02-11 17:02:42,16.611s,PASSED
waitForPageLoad,Firefox 65.0,,2019-02-11 17:02:42,2019-02-11 17:02:42,0.022s,PASSED
navigateToUrl,Firefox 65.0,Network Summary,2019-02-11 17:02:42,2019-02-11 17:02:44,2.721s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 17:02:44,2019-02-11 17:03:45,1m - 0.491s,FAILED
waitForPageLoad,Firefox 65.0,,2019-02-11 17:03:45,2019-02-11 17:03:45,0.009s,PASSED
navigateToUrl,Firefox 65.0,Network Content,2019-02-11 17:03:45,2019-02-11 17:03:47,2.260s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 17:03:47,2019-02-11 17:03:47,0.002s,NOT_RUN
waitForPageLoad,Firefox 65.0,,2019-02-11 17:03:47,2019-02-11 17:03:47,0.096s,PASSED
navigateToUrl,Firefox 65.0,Network Locality,2019-02-11 17:03:47,2019-02-11 17:03:50,2.363s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 17:03:50,2019-02-11 17:04:26,36.145s,PASSED
waitForPageLoad,Firefox 65.0,,2019-02-11 17:04:26,2019-02-11 17:04:26,0.183s,PASSED
navigateToUrl,Firefox 65.0,Live Event Summary,2019-02-11 17:04:26,2019-02-11 17:04:29,3.003s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 17:04:29,2019-02-11 17:04:45,16.418s,PASSED
waitForPageLoad,Firefox 65.0,,2019-02-11 17:04:45,2019-02-11 17:04:45,0.036s,PASSED
navigateToUrl,Firefox 65.0,Live Event,2019-02-11 17:04:45,2019-02-11 17:04:47,2.170s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 17:04:47,2019-02-11 17:04:52,4.849s,PASSED
waitForPageLoad,Firefox 65.0,,2019-02-11 17:04:52,2019-02-11 17:04:52,0.008s,PASSED
navigateToUrl,Firefox 65.0,Live (in progress) Event (filtered on last 2 weeks),2019-02-11 17:04:52,2019-02-11 17:04:54,2.161s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 17:04:54,2019-02-11 17:05:18,23.153s,PASSED
waitForPageLoad,Firefox 65.0,,2019-02-11 17:05:18,2019-02-11 17:05:18,0.007s,PASSED
navigateToUrl,Firefox 65.0,VoD Summary,2019-02-11 17:05:18,2019-02-11 17:05:20,2.000s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 17:05:20,2019-02-11 17:05:46,26.245s,PASSED
waitForPageLoad,Firefox 65.0,,2019-02-11 17:05:46,2019-02-11 17:05:46,0.012s,PASSED
navigateToUrl,Firefox 65.0,Video on Demand,2019-02-11 17:05:46,2019-02-11 17:05:48,2.173s,PASSED
