Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.11 - EU1,Firefox 67.0,,2019-05-28 15:53:47,2019-05-28 16:36:30,42m - 43.285s,FAILED
,,,,,,
Test Cases/EU1/EU 1 - 10.11 - Summary and Detail pages ,Firefox 67.0,"This will cover all ""main"" Summary pages
-Live Events Summary
-Network Summary
-VoD Summary",2019-05-28 15:53:47,2019-05-28 15:56:32,2m - 44.527s,PASSED
openBrowser,Firefox 67.0,"Fires up the browser
",2019-05-28 15:53:48,2019-05-28 15:54:14,26.271s,PASSED
setText,Firefox 67.0,Filling out login info (username),2019-05-28 15:54:14,2019-05-28 15:54:14,0.178s,PASSED
setEncryptedText,Firefox 67.0,Filling out login info (password),2019-05-28 15:54:14,2019-05-28 15:54:14,0.145s,PASSED
click,Firefox 67.0,Clicks the Stay Logged In button,2019-05-28 15:54:14,2019-05-28 15:54:15,0.390s,PASSED
click,Firefox 67.0,Clicks the Submit button to login,2019-05-28 15:54:15,2019-05-28 15:54:20,5.486s,PASSED
waitForAngularLoad,Firefox 67.0,"Overview / Landing Page: 10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-28 15:54:20,2019-05-28 15:54:28,7.588s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-28 15:54:28,2019-05-28 15:54:28,0.061s,PASSED
navigateToUrl,Firefox 67.0,Network Summary,2019-05-28 15:54:28,2019-05-28 15:54:32,3.800s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-28 15:54:32,2019-05-28 15:54:49,17.674s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-28 15:54:49,2019-05-28 15:54:50,0.818s,PASSED
navigateToUrl,Firefox 67.0,Network Content,2019-05-28 15:54:50,2019-05-28 15:54:57,6.764s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-28 15:54:57,2019-05-28 15:55:02,4.800s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-28 15:55:02,2019-05-28 15:55:02,0.033s,PASSED
navigateToUrl,Firefox 67.0,Network Locality,2019-05-28 15:55:02,2019-05-28 15:55:05,3.148s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-28 15:55:05,2019-05-28 15:55:17,12.194s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-28 15:55:17,2019-05-28 15:55:17,0.190s,PASSED
navigateToUrl,Firefox 67.0,Live Event Summary,2019-05-28 15:55:17,2019-05-28 15:55:21,3.674s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements to load.  Throws an execption if this takes longer than 60 seconds.,2019-05-28 15:55:21,2019-05-28 15:55:24,3.554s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-28 15:55:24,2019-05-28 15:55:25,0.942s,PASSED
navigateToUrl,Firefox 67.0,Live Event,2019-05-28 15:55:25,2019-05-28 15:55:31,6.140s,PASSED
waitForAngularLoad,Firefox 67.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-05-28 15:55:31,2019-05-28 15:56:00,28.785s,PASSED
waitForPageLoad,Firefox 67.0,,2019-05-28 15:56:00,2019-05-28 15:56:00,0.016s,PASSED
navigateToUrl,Firefox 67.0,Live (in progress) Event (filtered on last 2 weeks),2019-05-28 15:56:00,2019-05-28 15:56:02,1.909s,PASSED
