Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1 Sanity Check,Firefox 62.0,This is a sanity check for the TC1 DMS.  It is a basic set of tests that will raise confidence that the deploy was successful.,2018-10-10 11:06:13,2018-10-10 11:08:56,2m - 42.854s,PASSED
,,,,,,
Test Cases/TC1/TC1 - Logging In and Out,Firefox 62.0,This will cover primarily the log in process and validation of Sudoing as a different user,2018-10-10 11:06:13,2018-10-10 11:06:29,15.732s,PASSED
openBrowser,Firefox 62.0,"Fires up the browser
",2018-10-10 11:06:13,2018-10-10 11:06:21,7.293s,PASSED
setText,Firefox 62.0,Filling out login info (username),2018-10-10 11:06:21,2018-10-10 11:06:21,0.183s,PASSED
setEncryptedText,Firefox 62.0,Filling out login info (password),2018-10-10 11:06:21,2018-10-10 11:06:21,0.125s,PASSED
click,Firefox 62.0,Clicks the Stay Logged In button,2018-10-10 11:06:21,2018-10-10 11:06:21,0.252s,PASSED
click,Firefox 62.0,Clicks the Submit button to login,2018-10-10 11:06:21,2018-10-10 11:06:24,3.110s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-10 11:06:24,2018-10-10 11:06:26,1.688s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:26,2018-10-10 11:06:26,0.146s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:26,2018-10-10 11:06:26,0.141s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:26,2018-10-10 11:06:26,0.097s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:26,2018-10-10 11:06:26,0.167s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:26,2018-10-10 11:06:27,0.143s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.018s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.017s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.013s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.012s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.012s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.015s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.019s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.001s,NOT_RUN
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.015s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.001s,NOT_RUN
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.015s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.015s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.013s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.160s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.025s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.020s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.017s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.020s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.001s,NOT_RUN
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.014s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.021s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.014s,PASSED
click,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:27,0.367s,PASSED
click,Firefox 62.0,,2018-10-10 11:06:27,2018-10-10 11:06:28,0.934s,PASSED
