Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.10 - Prod3,Firefox 67.0,,2019-06-09 05:56:28,2019-06-09 06:01:24,4m - 55.642s,FAILED
,,,,,,
Test Cases/Prod 3/Prod 3 - Logging In and Out,Firefox 67.0,This will cover primarily the log in process and validation of Sudoing as a different user,2019-06-09 05:56:28,2019-06-09 05:56:51,22.305s,PASSED
openBrowser,Firefox 67.0,"Fires up the browser
",2019-06-09 05:56:29,2019-06-09 05:56:39,10.016s,PASSED
setText,Firefox 67.0,Filling out login info (username),2019-06-09 05:56:39,2019-06-09 05:56:39,0.183s,PASSED
setEncryptedText,Firefox 67.0,Filling out login info (password),2019-06-09 05:56:39,2019-06-09 05:56:39,0.119s,PASSED
click,Firefox 67.0,Clicks the Stay Logged In button,2019-06-09 05:56:39,2019-06-09 05:56:39,0.585s,PASSED
click,Firefox 67.0,Clicks the Submit button to login,2019-06-09 05:56:39,2019-06-09 05:56:43,3.453s,PASSED
waitForAngularLoad,Firefox 67.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-06-09 05:56:43,2019-06-09 05:56:48,5.485s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:48,2019-06-09 05:56:48,0.049s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:48,2019-06-09 05:56:48,0.018s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:48,2019-06-09 05:56:48,0.010s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:48,2019-06-09 05:56:49,0.014s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:49,2019-06-09 05:56:49,0.012s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:49,2019-06-09 05:56:49,0.016s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:49,2019-06-09 05:56:49,0.014s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:49,2019-06-09 05:56:49,0.014s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-09 05:56:49,2019-06-09 05:56:49,0.013s,PASSED
click,Firefox 67.0,,2019-06-09 05:56:49,2019-06-09 05:56:49,0.307s,PASSED
