Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1 Sanity Check,Firefox 62.0,This is a sanity check for the TC1 DMS.  It is a basic set of tests that will raise confidence that the deploy was successful.,2018-10-11 12:26:55,2018-10-11 12:29:10,2m - 14.609s,PASSED
,,,,,,
Test Cases/TC1/TC1 - Summary and Detail pages,Firefox 62.0,"This will cover all ""main"" Summary pages
-Live Events Summary
-Network Summary
-VoD Summary",2018-10-11 12:26:56,2018-10-11 12:28:03,1m - 7.507s,PASSED
openBrowser,Firefox 62.0,"Fires up the browser
",2018-10-11 12:26:56,2018-10-11 12:27:03,6.826s,PASSED
setText,Firefox 62.0,Filling out login info (username),2018-10-11 12:27:03,2018-10-11 12:27:03,0.155s,PASSED
setEncryptedText,Firefox 62.0,Filling out login info (password),2018-10-11 12:27:03,2018-10-11 12:27:03,0.105s,PASSED
click,Firefox 62.0,Clicks the Stay Logged In button,2018-10-11 12:27:03,2018-10-11 12:27:03,0.247s,PASSED
click,Firefox 62.0,Clicks the Submit button to login,2018-10-11 12:27:03,2018-10-11 12:27:08,5.082s,PASSED
waitForAngularLoad,Firefox 62.0,"Overview / Landing Page: 10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-11 12:27:08,2018-10-11 12:27:09,0.298s,PASSED
waitForPageLoad,Firefox 62.0,,2018-10-11 12:27:09,2018-10-11 12:27:09,0.110s,PASSED
navigateToUrl,Firefox 62.0,Network Summary,2018-10-11 12:27:09,2018-10-11 12:27:11,2.410s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-11 12:27:11,2018-10-11 12:27:16,5.236s,PASSED
waitForPageLoad,Firefox 62.0,,2018-10-11 12:27:16,2018-10-11 12:27:17,0.171s,PASSED
navigateToUrl,Firefox 62.0,Network Content,2018-10-11 12:27:17,2018-10-11 12:27:21,4.202s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-11 12:27:21,2018-10-11 12:27:22,1.493s,PASSED
waitForPageLoad,Firefox 62.0,,2018-10-11 12:27:22,2018-10-11 12:27:22,0.153s,PASSED
navigateToUrl,Firefox 62.0,Network Locality,2018-10-11 12:27:22,2018-10-11 12:27:26,3.286s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-11 12:27:26,2018-10-11 12:27:29,3.347s,PASSED
