Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.10 - EU1,Chrome 71.0.3578.98,,2019-01-27 10:50:50,2019-01-27 10:53:00,2m - 10.493s,PASSED
,,,,,,
Test Cases/Gated - Public Test Cases/10.10 - EU1/EU 1 - Logging In and Out,Chrome 71.0.3578.98,This will cover primarily the log in process and validation of Sudoing as a different user,2019-01-27 10:50:50,2019-01-27 10:51:05,15.266s,PASSED
openBrowser,Chrome 71.0.3578.98,"Fires up the browser
",2019-01-27 10:50:50,2019-01-27 10:50:58,7.681s,PASSED
setText,Chrome 71.0.3578.98,Filling out login info (username),2019-01-27 10:50:58,2019-01-27 10:50:58,0.223s,PASSED
setEncryptedText,Chrome 71.0.3578.98,Filling out login info (password),2019-01-27 10:50:58,2019-01-27 10:50:58,0.153s,PASSED
click,Chrome 71.0.3578.98,Clicks the Stay Logged In button,2019-01-27 10:50:58,2019-01-27 10:50:58,0.076s,PASSED
click,Chrome 71.0.3578.98,Clicks the Submit button to login,2019-01-27 10:50:58,2019-01-27 10:51:02,3.420s,PASSED
waitForAngularLoad,Chrome 71.0.3578.98,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-27 10:51:02,2019-01-27 10:51:04,1.790s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.035s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.024s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.025s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.024s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.023s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.026s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.026s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.023s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.025s,PASSED
click,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:04,0.144s,PASSED
click,Chrome 71.0.3578.98,,2019-01-27 10:51:04,2019-01-27 10:51:05,1.027s,PASSED
verifyElementPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:05,2019-01-27 10:51:05,0.022s,PASSED
verifyTextPresent,Chrome 71.0.3578.98,,2019-01-27 10:51:05,2019-01-27 10:51:05,0.050s,PASSED
closeBrowser,Chrome 71.0.3578.98,,2019-01-27 10:51:05,2019-01-27 10:51:05,0.123s,PASSED
,,,,,,
Test Cases/Gated - Public Test Cases/10.10 - EU1/EU 1 - Navigation and CTAs,Chrome 71.0.3578.98,"This will cover testing of Paul's new navigation and dropdown menus, as well as the three main Calls To Action on the Overview page",2019-01-27 10:51:05,2019-01-27 10:52:10,1m - 4.819s,PASSED
openBrowser,Chrome 71.0.3578.98,"Fires up the browser
",2019-01-27 10:51:05,2019-01-27 10:51:12,7.096s,PASSED
setText,Chrome 71.0.3578.98,Filling out login info (username),2019-01-27 10:51:12,2019-01-27 10:51:13,0.172s,PASSED
setEncryptedText,Chrome 71.0.3578.98,Filling out login info (password),2019-01-27 10:51:13,2019-01-27 10:51:13,0.091s,PASSED
click,Chrome 71.0.3578.98,Clicks the Stay Logged In button,2019-01-27 10:51:13,2019-01-27 10:51:13,0.074s,PASSED
click,Chrome 71.0.3578.98,Clicks the Submit button to login,2019-01-27 10:51:13,2019-01-27 10:51:20,6.951s,PASSED
waitForAngularLoad,Chrome 71.0.3578.98,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-27 10:51:20,2019-01-27 10:51:23,2.857s,PASSED
