Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.10 - Prod1,Firefox 64.0,,2019-01-15 16:11:57,2019-01-15 16:14:26,2m - 28.219s,PASSED
,,,,,,
Test Cases/Gated - Public Test Cases/10.10 - Prod1/Prod 1 - Summary and Detail pages,Firefox 64.0,"This will cover all ""main"" Summary pages
-Live Events Summary
-Network Summary
-VoD Summary",2019-01-15 16:11:58,2019-01-15 16:13:00,1m - 2.699s,PASSED
openBrowser,Firefox 64.0,"Fires up the browser
",2019-01-15 16:11:58,2019-01-15 16:12:03,5.306s,PASSED
setText,Firefox 64.0,Filling out login info (username),2019-01-15 16:12:03,2019-01-15 16:12:03,0.167s,PASSED
setEncryptedText,Firefox 64.0,Filling out login info (password),2019-01-15 16:12:03,2019-01-15 16:12:04,0.134s,PASSED
click,Firefox 64.0,Clicks the Stay Logged In button,2019-01-15 16:12:04,2019-01-15 16:12:04,0.414s,PASSED
click,Firefox 64.0,Clicks the Submit button to login,2019-01-15 16:12:04,2019-01-15 16:12:07,2.843s,PASSED
waitForAngularLoad,Firefox 64.0,"Overview / Landing Page: 10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-15 16:12:07,2019-01-15 16:12:08,1.572s,PASSED
waitForPageLoad,Firefox 64.0,,2019-01-15 16:12:08,2019-01-15 16:12:09,0.190s,PASSED
navigateToUrl,Firefox 64.0,Network Summary,2019-01-15 16:12:09,2019-01-15 16:12:11,2.740s,PASSED
waitForAngularLoad,Firefox 64.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-15 16:12:11,2019-01-15 16:12:17,5.225s,PASSED
waitForPageLoad,Firefox 64.0,,2019-01-15 16:12:17,2019-01-15 16:12:18,1.625s,PASSED
navigateToUrl,Firefox 64.0,Network Content,2019-01-15 16:12:18,2019-01-15 16:12:21,2.526s,PASSED
waitForAngularLoad,Firefox 64.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-15 16:12:21,2019-01-15 16:12:21,0.002s,NOT_RUN
waitForPageLoad,Firefox 64.0,,2019-01-15 16:12:21,2019-01-15 16:12:21,0.131s,PASSED
navigateToUrl,Firefox 64.0,Network Locality,2019-01-15 16:12:21,2019-01-15 16:12:23,2.459s,PASSED
waitForAngularLoad,Firefox 64.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-15 16:12:23,2019-01-15 16:12:26,3.119s,PASSED
waitForPageLoad,Firefox 64.0,,2019-01-15 16:12:26,2019-01-15 16:12:26,0.015s,PASSED
navigateToUrl,Firefox 64.0,Live Event Summary,2019-01-15 16:12:26,2019-01-15 16:12:30,3.300s,PASSED
