Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1 Sanity Check,Firefox 62.0,This is a sanity check for the TC1 DMS.  It is a basic set of tests that will raise confidence that the deploy was successful.,2018-10-11 14:32:51,2018-10-11 14:36:09,3m - 18.455s,FAILED
,,,,,,
Test Cases/TC1/TC1 - Fixture Data Validation,Firefox 62.0,,2018-10-11 14:32:51,2018-10-11 14:33:48,56.801s,PASSED
openBrowser,Firefox 62.0,"Fires up the browser
",2018-10-11 14:32:52,2018-10-11 14:33:01,9.508s,PASSED
setText,Firefox 62.0,Filling out login info (username),2018-10-11 14:33:01,2018-10-11 14:33:02,0.180s,PASSED
setEncryptedText,Firefox 62.0,Filling out login info (password),2018-10-11 14:33:02,2018-10-11 14:33:02,0.133s,PASSED
click,Firefox 62.0,Clicks the Stay Logged In button,2018-10-11 14:33:02,2018-10-11 14:33:02,0.259s,PASSED
click,Firefox 62.0,Clicks the Submit button to login,2018-10-11 14:33:02,2018-10-11 14:33:06,3.747s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-11 14:33:06,2018-10-11 14:33:08,1.770s,PASSED
click,Firefox 62.0,Clicks the filter to access options,2018-10-11 14:33:08,2018-10-11 14:33:09,0.998s,PASSED
selectOptionByValue,Firefox 62.0,"Use the filter dropdown to set a Time Filter of ""Is in the year""",2018-10-11 14:33:09,2018-10-11 14:33:10,1.035s,PASSED
setText,Firefox 62.0,"Set 2017 in the ""Is in the year"" field",2018-10-11 14:33:10,2018-10-11 14:33:10,0.188s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-11 14:33:10,2018-10-11 14:33:10,0.018s,PASSED
click,Firefox 62.0,Clicks the Run button,2018-10-11 14:33:10,2018-10-11 14:33:10,0.383s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-11 14:33:10,2018-10-11 14:33:21,10.977s,PASSED
click,Firefox 62.0,Clicks the gear icon to access Clear Cache and Refresh option,2018-10-11 14:33:21,2018-10-11 14:33:21,0.307s,PASSED
click,Firefox 62.0,Clear cache and refresh to get clean data,2018-10-11 14:33:21,2018-10-11 14:33:22,0.569s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-11 14:33:22,2018-10-11 14:33:30,7.919s,PASSED
waitForPageLoad,Firefox 62.0,,2018-10-11 14:33:30,2018-10-11 14:33:30,0.028s,PASSED
verifyElementText,Firefox 62.0,"Verify ""Total Live Events"" widget is on the page",2018-10-11 14:33:30,2018-10-11 14:33:30,0.062s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Total Live Events widget has a value of 2,563",2018-10-11 14:33:30,2018-10-11 14:33:30,0.047s,PASSED
verifyElementText,Firefox 62.0,"Verify ""Average Monthly Events"" widget is on the page",2018-10-11 14:33:30,2018-10-11 14:33:30,0.045s,PASSED
verifyElementText,Firefox 62.0,FIXTURE DATA - Verify Average Monthly Events widget has a value of 226,2018-10-11 14:33:30,2018-10-11 14:33:30,0.074s,PASSED
verifyElementText,Firefox 62.0,"Verify ""Unique Viewers"" widget is on the page",2018-10-11 14:33:30,2018-10-11 14:33:30,0.054s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Unique Viewers widget has a value of 10,079",2018-10-11 14:33:30,2018-10-11 14:33:30,0.054s,PASSED
verifyElementText,Firefox 62.0,Verify Average Monthly Viewers widget exists on page,2018-10-11 14:33:30,2018-10-11 14:33:30,0.042s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Average Monthly Views widget has a value of 7,762",2018-10-11 14:33:30,2018-10-11 14:33:30,0.047s,PASSED
verifyElementText,Firefox 62.0,Verify Total Videos widget exists on page,2018-10-11 14:33:30,2018-10-11 14:33:30,0.038s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Total Videos widget has a value of 1,585",2018-10-11 14:33:30,2018-10-11 14:33:30,0.044s,PASSED
verifyElementText,Firefox 62.0,Verify Total Views widget exists on page,2018-10-11 14:33:30,2018-10-11 14:33:31,0.052s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Unique Viewers widget has a value of 17,443",2018-10-11 14:33:31,2018-10-11 14:33:31,0.040s,PASSED
verifyElementText,Firefox 62.0,Verify Unique Viewers widget exists on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.036s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Total Views widget has a value of 8,261",2018-10-11 14:33:31,2018-10-11 14:33:31,0.040s,PASSED
verifyElementText,Firefox 62.0,Verify Total Hours Watched widget exists on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.034s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Total Hours Watched widget has a value of 1,404",2018-10-11 14:33:31,2018-10-11 14:33:31,0.041s,PASSED
verifyElementText,Firefox 62.0,Verify Unique Agent widget exists on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.038s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Unique Agents widget has a value of 10,905",2018-10-11 14:33:31,2018-10-11 14:33:31,0.039s,PASSED
verifyElementText,Firefox 62.0,Verify Deliveries widget exists on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.039s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Delivery widget has a value of 67,512",2018-10-11 14:33:31,2018-10-11 14:33:31,0.042s,PASSED
verifyElementText,Firefox 62.0,Verify Saved GB widget exists on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.046s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Saved GB widget has a value of 1,573",2018-10-11 14:33:31,2018-10-11 14:33:31,0.042s,PASSED
verifyElementText,Firefox 62.0,Verify Total GB widget exists on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.038s,PASSED
verifyElementText,Firefox 62.0,"FIXTURE DATA - Verify Total GB widget has a value of 3,865",2018-10-11 14:33:31,2018-10-11 14:33:31,0.038s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Peering Efficiency widget appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.024s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Peering Efficiency widget appears on page and has a value of 41%,2018-10-11 14:33:31,2018-10-11 14:33:31,0.058s,PASSED
verifyElementPresent,Firefox 62.0,Verify the VoD Summary Peering Efficiency widget appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.018s,PASSED
verifyElementPresent,Firefox 62.0,Verify the VoD Summary widget appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.030s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Peering Efficiency donut chart appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.017s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Peering Efficiency widget appears on page and has a value of 66% in the donut chart,2018-10-11 14:33:31,2018-10-11 14:33:31,0.042s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Live Views widget appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.015s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Live Events widget appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.034s,PASSED
verifyElementPresent,Firefox 62.0,Verify the VoD Views widget appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.014s,PASSED
verifyElementPresent,Firefox 62.0,Verify the VoD over time widget appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.016s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Deliveries by Month widget appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.012s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Live Event Summary CTA appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.013s,PASSED
verifyElementPresent,Firefox 62.0,Verify the VoD Summary CTA appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.011s,PASSED
verifyElementPresent,Firefox 62.0,Verify the Network Summary CTA appears on page,2018-10-11 14:33:31,2018-10-11 14:33:31,0.012s,PASSED
waitForAngularLoad,Firefox 62.0,Waits for all angular elements on the landing page to load,2018-10-11 14:33:31,2018-10-11 14:33:31,0.015s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-11 14:33:31,2018-10-11 14:33:33,2.072s,PASSED
